Date,Open,High,Low,Close,Volume,Adj Close
1995-01-03,3.976563,4.000975,3.9375,3.984375,41721600,2.669861
1995-01-04,4,4.023438,3.953125,3.976563,41865600,2.664625
1995-01-05,3.984375,4.0625,3.976563,4.007813,60480000,2.685566
1995-01-06,4.007813,4.070313,4,4.0625,56316800,2.722212
1995-01-09,4.054688,4.125,4.054688,4.125,75056000,2.764089
1995-01-10,4.148438,4.210938,4.125,4.164063,109320000,2.790266
1995-01-11,4.179688,4.210938,4.125,4.140625,58468800,2.77456
1995-01-12,4.132813,4.226563,4.097656,4.195313,85384000,2.811206
1995-01-13,4.226563,4.28125,4.21875,4.257813,126689600,2.853087
1995-01-16,4.28125,4.28125,4.234375,4.257813,59564800,2.853087
1995-01-17,4.257813,4.335938,4.179688,4.1875,118696000,2.805971
1995-01-18,4.265625,4.351563,4.265625,4.335938,189520000,2.905436
1995-01-19,4.328125,4.421875,4.3125,4.417969,146992000,2.960403
1995-01-20,4.398438,4.414063,4.290038,4.300781,146233600,2.881879
1995-01-23,4.273438,4.414063,4.25,4.398438,105260800,2.947317
1995-01-24,4.414063,4.480469,4.367188,4.46875,110656000,2.994432
1995-01-25,4.375,4.484375,4.34375,4.429688,152656000,2.968256
1995-01-26,4.414063,4.453125,4.375,4.402344,78633600,2.952435
1995-01-27,4.40625,4.46875,4.390625,4.4375,80027200,2.976012
1995-01-30,4.445313,4.445313,4.367188,4.375,65137600,2.934097
1995-01-31,4.367188,4.375,4.311519,4.335938,84265600,2.907897
1995-02-01,4.335938,4.4375,4.320313,4.414063,75233600,2.960292
1995-02-02,4.40625,4.5166,4.40625,4.511719,88065600,3.025785
1995-02-03,4.546875,4.632813,4.5,4.59375,142459200,3.080801
1995-02-06,4.585938,4.648438,4.585938,4.601563,56099200,3.086039
1995-02-07,4.601563,4.609375,4.539063,4.5625,44675200,3.059841
1995-02-08,4.632813,4.804688,4.625,4.789063,135900800,3.211785
1995-02-09,4.789063,4.921875,4.789063,4.84375,126497600,3.248463
1995-02-10,4.835938,4.90625,4.820313,4.835938,88566400,3.243224
1995-02-13,4.835938,4.875,4.796875,4.820313,53864000,3.232744
1995-02-14,4.820313,4.90625,4.820313,4.90625,68824000,3.290379
1995-02-15,4.90625,5,4.90625,4.984375,113956800,3.342772
1995-02-16,4.992188,5.046875,4.96875,4.992188,94993600,3.348012
1995-02-17,4.96875,4.96875,4.921875,4.925781,80916800,3.303476
1995-02-21,4.929688,4.960938,4.890625,4.9375,67569600,3.311336
1995-02-22,4.929688,5,4.929688,4.976563,44088000,3.337534
1995-02-23,5,5.039063,4.875,4.878906,87577600,3.27204
1995-02-24,4.875,4.921875,4.824219,4.90625,78345600,3.290379
1995-02-27,4.890625,4.9375,4.867188,4.894531,51545600,3.28252
1995-02-28,4.890625,4.984375,4.851563,4.984375,54179200,3.342772
1995-03-01,4.984375,5.032225,4.921875,4.921875,65336000,3.300857
1995-03-02,4.921875,4.976563,4.898438,4.936519,39121600,3.310678
1995-03-03,4.929688,5.132813,4.921875,5.117188,140860800,3.431845
1995-03-06,5.09375,5.171875,5.0625,5.140625,80664000,3.447561
1995-03-07,5.125,5.132813,5.007813,5.023438,85563200,3.36897
1995-03-08,5.015625,5.054688,4.953125,4.984375,85804800,3.342772
1995-03-09,5,5.054688,4.945313,5.011719,84761600,3.361112
1995-03-10,5,5.039063,5,5.03125,57476800,3.374209
1995-03-13,5.03125,5.125,5.023438,5.085938,73267200,3.410887
1995-03-14,5.101563,5.179688,5.101563,5.148438,66921600,3.452801
1995-03-15,5.148438,5.171875,5.09375,5.117188,34435200,3.431845
1995-03-16,5.109375,5.148438,5.078125,5.089844,34500800,3.413507
1995-03-17,5.109375,5.109375,5.054688,5.055663,38120000,3.390582
1995-03-20,5.054688,5.210938,5.015625,5.210938,66764800,3.494717
1995-03-21,5.210938,5.265625,5.191406,5.203125,83536000,3.489477
1995-03-22,5.195313,5.273438,5.171875,5.273438,69624000,3.536633
1995-03-23,5.273438,5.359375,5.264644,5.335938,110006400,3.578549
1995-03-24,5.359375,5.445313,5.351563,5.382813,98563200,3.609986
1995-03-27,5.382813,5.484375,5.375,5.46875,67161600,3.667621
1995-03-28,5.515625,5.59375,5.507813,5.53125,94750400,3.709535
1995-03-29,5.53125,5.625,5.34375,5.441406,160102400,3.649282
1995-03-30,5.445313,5.453125,5.234375,5.335938,164172800,3.578549
1995-03-31,5.21875,5.398438,5.1875,5.304688,150662400,3.55759
1995-04-03,5.296875,5.53125,5.28125,5.53125,94400000,3.709535
1995-04-04,5.554688,5.632813,5.390625,5.410156,100321600,3.628323
1995-04-05,5.375,5.429688,5.296875,5.414063,119211200,3.630942
1995-04-06,5.4375,5.477538,5.320313,5.34375,79091200,3.583787
1995-04-07,5.34375,5.480469,5.3125,5.445313,85091200,3.651901
1995-04-10,5.4375,5.53125,5.40625,5.53125,79411200,3.709535
1995-04-11,5.671875,5.75,5.664063,5.703125,173561600,3.824804
1995-04-12,5.710938,5.742188,5.640625,5.734375,83680000,3.845759
1995-04-13,5.757813,5.945313,5.757813,5.9375,115472000,3.981985
1995-04-17,5.945313,6.09375,5.84375,5.875,156675200,3.940071
1995-04-18,6.023438,6.03125,5.828125,5.894531,168217600,3.953169
1995-04-19,5.875,5.90625,5.742188,5.832031,95795200,3.911254
1995-04-20,5.867188,5.882813,5.773438,5.8125,79468800,3.898154
1995-04-21,5.820313,5.890625,5.773438,5.804688,87787200,3.892916
1995-04-24,5.796875,6.046875,5.773438,6.03125,96052800,4.044861
1995-04-25,6.03125,6.171875,6.03125,6.140625,128708800,4.120776
1995-04-26,6.101563,6.289063,6.085938,6.226563,96080000,4.178443
1995-04-27,6.21875,6.375,6.217769,6.289063,91153600,4.220387
1995-04-28,6.390625,6.507813,6.335938,6.398438,132334400,4.293782
1995-05-01,6.46875,6.570313,6.429688,6.507813,115844800,4.367182
1995-05-02,6.484375,6.53125,6.4375,6.5,115572800,4.36194
1995-05-03,6.5,6.726563,6.5,6.710938,89808000,4.503494
1995-05-04,6.765625,6.96875,6.734375,6.867188,176945600,4.608347
1995-05-05,6.929688,6.984375,6.765625,6.789063,143638400,4.555919
1995-05-08,6.765625,7.03125,6.75,6.976563,117291200,4.681746
1995-05-09,7.039063,7.054688,6.835938,6.953125,138131200,4.666017
1995-05-10,7.023438,7.03125,6.785156,6.796875,141251200,4.561162
1995-05-11,6.757813,6.867188,6.695313,6.828125,115512000,4.582133
1995-05-12,6.828125,6.9375,6.757813,6.792969,78270400,4.558542
1995-05-15,6.804688,6.828125,6.703125,6.773438,72540800,4.545434
1995-05-16,6.765625,6.882813,6.734375,6.804688,83606400,4.566405
1995-05-17,6.859375,6.960938,6.851563,6.921875,103816000,4.645046
1995-05-18,6.96875,7.203125,6.914063,6.921875,170598400,4.645046
1995-05-19,6.90625,7.070313,6.890625,6.960938,146268800,4.671259
1995-05-22,6.976563,7.164063,6.976563,7.125,103174400,4.781358
1995-05-23,7.15625,7.3125,7.148438,7.28125,122224000,4.886213
1995-05-24,7.390625,7.4375,7.234375,7.265625,139008000,4.875727
1995-05-25,7.265625,7.382813,7.203125,7.34375,85121600,4.928154
1995-05-26,7.3125,7.34375,7.203125,7.242188,57699200,4.859999
1995-05-30,7.257813,7.296875,6.8125,6.90625,242369600,4.634561
1995-05-31,6.953125,7.03125,6.75,7.015625,163680000,4.707959
