
gyro-data [567]: x:0.197533, z:-0.022003, motor-0:0.000000, motor-1:0.000000
gyro-data [568]: x:0.296702, z:-0.020942, motor-0:0.000000, motor-1:0.017516
gyro-data [569]: x:0.184873, z:-0.020942, motor-0:0.000000, motor-1:0.035035
gyro-data [570]: x:0.093088, z:-0.005025, motor-0:0.000000, motor-1:0.052556
gyro-data [571]: x:0.028734, z:0.003463, motor-0:0.000000, motor-1:0.070073
gyro-data [572]: x:0.004469, z:0.006647, motor-0:0.000000, motor-1:0.087584
gyro-data [573]: x:0.003414, z:0.015136, motor-0:0.000000, motor-1:0.095864
gyro-data [574]: x:-0.009246, z:0.001341, motor-0:0.000000, motor-1:0.104130
gyro-data [575]: x:0.003414, z:0.002402, motor-0:0.000000, motor-1:0.112400
gyro-data [576]: x:-0.022961, z:0.010891, motor-0:0.000000, motor-1:0.120672
gyro-data [577]: x:-0.015576, z:-0.000781, motor-0:0.000000, motor-1:0.128948
gyro-data [578]: x:0.013964, z:0.022563, motor-0:0.000000, motor-1:0.137222
gyro-data [579]: x:-0.044061, z:-0.013514, motor-0:0.000000, motor-1:0.145490
gyro-data [580]: x:0.039284, z:0.013013, motor-0:0.000000, motor-1:0.153761
gyro-data [581]: x:-0.034566, z:-0.016698, motor-0:0.000000, motor-1:0.162037
gyro-data [582]: x:0.024514, z:0.011952, motor-0:0.000000, motor-1:0.170307
gyro-data [583]: x:-0.074656, z:-0.023064, motor-0:0.000000, motor-1:0.178577
gyro-data [584]: x:0.015019, z:0.014075, motor-0:0.000000, motor-1:0.186848
gyro-data [585]: x:0.030844, z:0.017258, motor-0:0.000000, motor-1:0.195120
gyro-data [586]: x:0.036119, z:0.019380, motor-0:0.000000, motor-1:0.203393
gyro-data [587]: x:-0.070436, z:-0.035798, motor-0:0.000000, motor-1:0.211665
gyro-data [588]: x:0.038229, z:0.024686, motor-0:0.000000, motor-1:0.219936
gyro-data [589]: x:-0.055666, z:-0.033675, motor-0:0.000000, motor-1:0.228210
gyro-data [590]: x:0.057219, z:0.038480, motor-0:0.000000, motor-1:0.236481
gyro-data [591]: x:-0.017686, z:-0.006087, motor-0:0.000000, motor-1:0.240567
gyro-data [592]: x:0.016074, z:-0.006087, motor-0:0.000000, motor-1:0.244656
gyro-data [593]: x:-0.018741, z:-0.014575, motor-0:0.000000, motor-1:0.248747
gyro-data [594]: x:-0.066216, z:-0.054898, motor-0:0.000000, motor-1:0.252829
gyro-data [595]: x:0.075153, z:0.052275, motor-0:0.000000, motor-1:0.256916
gyro-data [596]: x:-0.041951, z:-0.046409, motor-0:0.000000, motor-1:0.261006
gyro-data [597]: x:0.031899, z:0.022563, motor-0:0.000000, motor-1:0.265093
gyro-data [598]: x:0.017129, z:0.025747, motor-0:0.000000, motor-1:0.269179
gyro-data [599]: x:-0.076765, z:-0.055959, motor-0:0.000000, motor-1:0.273266
gyro-data [600]: x:0.080428, z:0.065008, motor-0:0.000000, motor-1:0.276322
gyro-data [601]: x:-0.050391, z:-0.044286, motor-0:0.000000, motor-1:0.279376
gyro-data [602]: x:0.007634, z:0.016197, motor-0:0.000000, motor-1:0.282429
